Plant name,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
San Onofre,1,PWR,WH (DRY),Dismantled,436,16 Jul 1964,1 Jan 1968,30 Nov 1992
San Onofre,2,PWR,CE (DRY),Shut down/in decommissioning,1070,1 Mar 1974,8 Aug 1983,7 Jun 2013
San Onofre,3,PWR,CE (DRY),Shut down/in decommissioning,1180,1 Mar 1974,1 Apr 1984,7 Jun 2013
Saxton,1,PWR,,Decommissioned,3,1 Jan 1960,Nov 1961,May 1972
Seabrook,1,PWR,WH 4-Loop (DRY),Operational,1246,7 Jul 1976,15 Mar 1990,
Sequoyah,1,PWR,WH 4-Loop (ICECOND),Operational,1152,27 May 1970,1 Jul 1981,
Sequoyah,2,PWR,WH 4-Loop (ICECOND),Operational,1139,27 May 1970,1 Jun 1982,
Shearon Harris,1,PWR,WH 3-Loop (DRY),Operational,964,28 Jan 1978,2 May 1987,
Shippingport,1,PWR,WH,Dismantled,60,6 Sep 1954,26 May 1958,Dec 1989
Shoreham,1,BWR,GE,Shut down,820,1 Nov 1972,1 Aug 1986,1 May 1989
SRE,1,FBR,,Decommissioned,6.5,1954,12 Jul 1957,15 Feb 1964
South Texas,1,PWR,WH 4-loop (DRY),Operational,1280,22 Dec 1975,25 Aug 1988,
South Texas,2,PWR,WH 4-loop (DRY),Operational,1280,22 Dec 1975,19 Jun 1989,
St. Lucie,1,PWR,CE (DRY),Operational,981,1 Jul 1970,1 Mar 1976,
St. Lucie,2,PWR,CE (DRY),Operational,987,2 Jun 1977,10 Jun 1983,
Surry,1,PWR,WH 3-loop (DRY),Operational,838,25 Jun 1968,22 Dec 1972,
Surry,2,PWR,WH 3-loop (DRY),Operational,838,25 Jun 1968,1 May 1973,
Susquehanna,1,BWR,BWR-5 (WET),Operational,1257,2 Nov 1973,12 Nov 1982,
Susquehanna,2,BWR,BWR-5 (WET),Operational,1257,2 Nov 1973,27 Jun 1984,
Three Mile Island,1,PWR,B & W (DRY),Restart Planned,819,18 May 1968,2 Sep 1974,20 Sep 2019
Three Mile Island,2,PWR,B & W (DRY),Core melt,880,1 Nov 1969,30 Dec 1978,28 Mar 1979
Trojan,1,PWR,WH (DRY),Dismantled,1095,1 Feb 1970,20 May 1976,9 Nov 1992
Turkey Point,3,PWR,WH 3-Loop (DRY),Operational,829,27 Apr 1967,14 Dec 1972,
Turkey Point,4,PWR,WH 3-Loop (DRY),Operational,821,27 Apr 1967,7 Sep 1973,
Vallecitos,1,BWR,BWR-1,Shut down,25,1 Jan 1956,19 Oct 1957,9 Dec 1963
Vermont Yankee,1,BWR,BWR-4 (WET),Shut down,605,11 Dec 1967,30 Nov 1972,29 Dec 2014
Virgil C. Summer,1,PWR,WH 3-Loop (DRY),Operational,973,21 Mar 1973,1 Jan 1984,
Virgil C. Summer,2,PWR,AP1000,Unfinished,1117,9 Mar 2013,,
Virgil C. Summer,3,PWR,AP1000,Unfinished,1117,2 Nov 2013,,
Vogtle,1,PWR,WH 4-Loop (DRY),Operational,1150,1 Aug 1976,1 Jun 1987,
Vogtle,2,PWR,WH 4-Loop (DRY),Operational,1152,1 Aug 1976,20 May 1989,
Vogtle,3,PWR,AP1000,Operational,1117,12 Mar 2013,31 Jul 2023,
Vogtle,4,PWR,AP1000,Operational,1117,19 Nov 2013,29 April 2024,
Waterford,1,PWR,CE 2-loop (DRY),Operational,1168,14 Nov 1974,24 Sep 1985,
Watts Bar,1,PWR,WH 4-Loop (ICECOND),Operational,1157,20 Jul 1973,27 May 1996,
Watts Bar,2,PWR,WH 4-Loop (ICECOND),Operational,1164,1 Sep 1973,4 Jun 2016,
Wolf Creek,1,PWR,WH 4-Loop (DRY),Operational,1200,31 May 1977,3 Sep 1985,
Yankee Rowe,1,PWR,WH (DRY),Dismantled,167,1 Nov 1957,1 Jul 1961,1 Oct 1991
Zion,1,PWR,WH (DRY),Dismantled,1040,1 Dec 1968,31 Dec 1973,13 Feb 1998
Zion,2,PWR,WH (DRY),Dismantled,1040,1 Dec 1968,17 Sep 1974,13 Feb 1998
